t1;VS;t2;m1t1;m1t2;m2t1;m2t2;m3t1;m3t2;a1;a2;
Sheffield United;VS;Tottenham;0.13859384;0.18197364;0.035843644;0.12820777;0.071412474;0.16212471;3;1;
Manchester City;VS;Liverpool;0.21726868;0.18632217;0.1908742;0.07888002;0.18883097;0.103400104;4;0;
Real Sociedad;VS;Espanyol;0.09177163;0.1417118;0.08841749;0.10744436;0.12775113;0.12789574;2;1;
Eibar;VS;Osasuna;0.09043123;0.040207393;0.09134838;0.086297564;0.070646524;0.0732429;0;2;
Real Madrid;VS;Getafe;0.101611726;0.1555832;0.17641327;0.11048023;0.21594301;0.051858913;1;0;
Atalanta;VS;Napoli;0.22257084;0.2072522;0.20862636;0.16690905;0.2572292;0.07895858;2;0;
Roma;VS;Udinese;0.13141762;0.3416745;0.073058605;0.013992556;0.2742979;0.098182626;0;2;
Hull;VS;Middlesbrough;-0.033674814;0.11631444;0.011971727;0.14647077;-0.0018174147;0.12942076;2;1;
Tottenham;VS;Everton;0.069546;0.14836733;0.047190707;0.11092572;0.062084783;0.107553765;1;0;
Levante;VS;Real Sociedad;0.16913064;0.11820587;0.05673619;0.051348764;0.10047602;0.10404764;1;1;
Sevilla;VS;Eibar;0.11371501;0.25491375;0.14624862;0.13389455;0.17708366;0.100924164;1;0;
Moreirense;VS;Sporting CP;0.1107883;0.21865885;0.05981018;0.05530017;0.077480815;0.15018922;0;0;
Oxford;VS;Portsmouth;0.21513379;0.31202692;0.16674241;0.11837817;0.18383303;0.08978762;1;1;
Wycombe;VS;Fleetwood;0.17320605;0.26248246;0.10303849;0.11433184;0.13859399;0.13802935;2;2;
Kayserispor;VS;Besiktas;0.057858493;0.105605885;0.057870895;0.056831624;0.11276441;0.097766936;3;1;
Wolverhampton Wanderers;VS;Everton;0.16309491;0.273629;0.039564837;0.15164675;0.1109441;0.16680399;3;0;
Aston Villa;VS;Crystal Palace;0.040655386;0.107874475;0.025746586;0.12678796;0.040485732;0.12917897;2;0;
Tottenham;VS;Arsenal;0.020011334;0.3429354;0.00656766;0.20418602;0.10459697;0.17440696;2;1;
Bournemouth;VS;Leicester;0.07527886;0.03841513;0.025058294;-0.04513838;0.027058978;0.13608648;4;1;
